stn code,lat,lon,cat_var
1,53.343,-4.192,b
3,53.793,-3.192,b
4,53.866,-3.185,b
5,53.959,-3.451,b
6,53.913,-3.612,b
7,54.255,-3.523,b
9,54.634,-3.847,b
11,54.764,-4.207,b
12,54.239,-4.88,a
14,54.17,-4.861,a
17,54.105,-5.34,a
18,53.998,-5.461,a
22,54.09,-5.532,a
25,54.169,-5.273,a
27,54.238,-5.494,a
28,54.243,-4.816,a
29,54.72,-3.842,b
30,54.623,-3.725,b
31,54.592,-3.742,b
32,54.6,-3.677,b
33,54.541,-3.789,b
35,54.087,-3.431,b
37,53.738,-3.426,b
40,54.412,-3.625,b
41,54.314,-3.665,b
42,54.288,-3.839,b
